Fecha,H34,H45
2010-02-01,1.776843,
2010-03-01,1.631019,
2010-04-01,1.740811,
2010-05-01,2.501138,
2010-06-01,3.372281,
2010-07-01,2.772444,
2010-08-01,3.096919,
2010-09-01,2.014393,
2010-10-01,1.579788,
2010-11-01,,
2010-12-01,,
2011-01-01,,
2011-02-01,,
2011-03-01,1.951920,
2011-04-01,2.202603,
2011-05-01,3.268222,
2011-06-01,,
2011-07-01,,
2011-08-01,,
2011-09-01,,
2011-10-01,,
2011-11-01,,
2011-12-01,1.852837,
2012-01-01,1.963298,
2012-02-01,2.444812,1.646605
2012-03-01,2.807010,
2012-04-01,2.280018,1.566867
2012-05-01,2.862640,
2012-06-01,3.054684,2.034129
2012-07-01,3.383767,2.011014
2012-08-01,3.036857,
2012-09-01,2.264843,1.406835
2012-10-01,1.710747,
2012-11-01,1.250260,0.698501
2012-12-01,1.198619,0.806534
2013-01-01,,
2013-02-01,2.356609,1.461522
2013-03-01,2.496262,1.834764
2013-04-01,1.871066,1.405967
2013-05-01,2.280075,1.765021
2013-06-01,3.103277,1.908278
2013-07-01,4.008173,2.249516
2013-08-01,3.372934,2.043599
2013-09-01,2.804659,1.756174
2013-10-01,2.983880,1.515908
2013-11-01,2.103723,1.223915
2013-12-01,1.613559,0.925620
2014-01-01,1.548767,1.248691
2014-02-01,1.377784,0.511489
2014-03-01,2.032156,0.957002
2014-04-01,2.787942,1.446128
2014-05-01,4.654332,2.693018
2014-06-01,6.720215,9.695808
2014-07-01,5.476009,3.069314
2014-08-01,5.003789,2.110078
2014-09-01,4.161335,2.286661
2014-10-01,2.867794,1.316699
2014-11-01,2.414997,0.809419
2014-12-01,,0.947220
2015-01-01,2.972796,1.430140
2015-02-01,3.146809,1.496673
2015-03-01,2.596131,1.149612
2015-04-01,3.339042,1.438811
2015-05-01,4.588192,2.563962
2015-06-01,,
2015-07-01,,3.174009
2015-08-01,,6.195200
2015-09-01,,4.082018
2015-10-01,,2.901436
2015-11-01,,2.663789
2015-12-01,0.855718,
2016-01-01,0.493609,
2016-02-01,0.929779,2.907027
2016-03-01,1.168960,6.470529
2016-04-01,1.522854,
2016-05-01,0.536435,
2016-06-01,4.120706,
2016-07-01,1.352483,
2016-08-01,0.352224,
2016-09-01,0.543375,
2016-10-01,0.187173,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,0.047236,
2017-03-01,0.139716,
2017-04-01,0.220084,
2017-05-01,0.253722,3.578766
2017-06-01,0.443171,4.188662
2017-07-01,,3.911165
2017-08-01,,
2017-09-01,,
2017-10-01,,2.629933
2017-11-01,,2.341414
2017-12-01,,
2018-01-01,,
2018-02-01,,
2018-03-01,,2.490734
2018-04-01,,2.122116
2018-05-01,,4.103970
2018-06-01,,4.188129
2018-07-01,,4.517869
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,,2.386387
2019-02-01,,4.142425
2019-03-01,,8.611957
2019-04-01,,8.459623
2019-05-01,,10.492362
2019-06-01,,14.225163
2019-07-01,,9.353991
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,,
2020-01-01,,
2020-02-01,0.154948,
2020-03-01,0.180045,
2020-04-01,0.239919,
2020-05-01,0.330510,
2020-06-01,0.281033,6.690685
2020-07-01,,
2020-08-01,0.331021,
2020-09-01,0.294249,
2020-10-01,,
2020-11-01,,
2020-12-01,0.210682,
2021-01-01,,
2021-02-01,0.400677,
2021-03-01,0.360476,
2021-04-01,0.520919,
2021-05-01,0.942884,
